Lat,Lng,Type,Value,Time
-45.839,170.508,temperature,13,1465020755
-45.839,170.508,temperature,13,1465020764
-45.839,170.508,temperature,13,1465020766
-45.839,170.508,temperature,13,1465020785
-45.839,170.508,temperature,13,1465020789
-45.839,170.508,temperature,13,1465020792
-45.839,170.508,temperature,13,1465020806
-45.839,170.508,temperature,13,1465020814
-45.839,170.508,temperature,13,1465020855
-45.839,170.508,temperature,13,1465020903
-45.839,170.508,temperature,13,1465020908
-45.839,170.508,temperature,13,1465020919
-45.839,170.508,temperature,13,1465020921
-45.839,170.508,temperature,13,1465020935
-45.839,170.508,temperature,13,1465020936
-45.839,170.508,temperature,13,1465020955
-45.839,170.508,temperature,13,1465020961
-45.839,170.508,temperature,13,1465020963
-45.839,170.508,temperature,13,1465020978
-45.839,170.508,temperature,13,1465020979
-45.839,170.508,temperature,13,1465020982
-45.839,170.508,temperature,13,1465020987
-45.839,170.508,temperature,13,1465020990
-45.839,170.508,temperature,13,1465020997
-45.839,170.508,temperature,13,1465021000
-45.839,170.508,temperature,13,1465021016
-45.839,170.508,temperature,13,1465021026
-45.839,170.508,temperature,13,1465021080
-45.839,170.508,temperature,13,1465021106
-45.839,170.508,temperature,13,1465021114
-45.839,170.508,temperature,13,1465021116
-45.839,170.508,temperature,13,1465021145
-45.839,170.508,temperature,13,1465021148
-45.839,170.508,temperature,13,1465021152
-45.839,170.508,temperature,13,1465021154
-45.839,170.508,temperature,13,1465021157
-45.839,170.508,temperature,13,1465021176
-45.839,170.508,temperature,13,1465021183
-45.839,170.508,undefined,13,1465021190
-45.839,170.508,temperature,13,1465021193
-45.839,170.508,temperature,13,1465021196
-45.839,170.508,temperature,13,1465021198
-45.839,170.508,temperature,13,1465021210
-45.839,170.508,temperature,13,1465021249
-45.839,170.508,temperature,13,1465021250
-45.839,170.508,temperature,13,1465021259
-45.839,170.508,undefined,13,1465021264
-45.839,170.508,temperature,13,1465021272
-45.839,170.508,temperature,13,1465021284
-45.839,170.508,temperature,13,1465021314
-45.839,170.508,temperature,13,1465021323
-45.839,170.508,temperature,13,1465021346
-45.839,170.508,temperature,13,1465021407
-45.839,170.508,temperature,13,1465021409
-45.839,170.508,temperature,13,1465021413
-45.839,170.508,temperature,13,1465021413
-45.839,170.508,temperature,13,1465021425
-45.839,170.508,temperature,13,1465021432
-45.839,170.508,temperature,13,1465021440
-45.839,170.508,temperature,13,1465021442
-45.839,170.508,temperature,13,1465021443
-45.839,170.508,temperature,13,1465021451
-45.839,170.508,temperature,13,1465021452
-45.839,170.508,temperature,13,1465021473
-45.839,170.508,temperature,13,1465021474
-45.839,170.508,temperature,13,1465021477
-45.839,170.508,temperature,13,1465021481
-45.839,170.508,temperature,13,1465021481
-45.839,170.508,temperature,13,1465021483
-45.839,170.508,temperature,13,1465021488
-45.839,170.508,temperature,13,1465021490
-45.839,170.508,temperature,13,1465021511
-45.839,170.508,temperature,13,1465021553
-45.839,170.508,temperature,13,1465021555
-45.839,170.508,temperature,13,1465021570
-45.839,170.508,temperature,13,1465021582
-45.839,170.508,temperature,13,1465021593
-45.839,170.508,temperature,13,1465021594
-45.839,170.508,temperature,13,1465021596
-45.839,170.508,temperature,13,1465021621
-45.839,170.508,temperature,13,1465021632
-45.839,170.508,temperature,13,1465021633
-45.839,170.508,temperature,13,1465021636
-45.839,170.508,temperature,13,1465021647
-45.839,170.508,temperature,13,1465021655
-45.839,170.508,temperature,13,1465021685
-45.839,170.508,temperature,13,1465021697
-45.839,170.508,temperature,13,1465021699
-45.839,170.508,temperature,13,1465021709
-45.839,170.508,temperature,13,1465021714
-45.839,170.508,temperature,13,1465021739
